,train_set 1,train_set 2,train_set 3,train_set 4,train_set 5,train_set 6,avg,std_err
Tree plain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Tree pre-processing,0.89,0.87,0.84,0.86,0.83,0.85,0.86,0.01
MLP plain,0.91,0.91,0.89,0.91,0.9,0.93,0.91,0.0
MLP pre-processing,0.89,0.89,0.85,0.88,0.89,0.89,0.88,0.01
Random forest plain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Random forest pre-processing,0.92,0.89,0.91,0.89,0.86,0.9,0.9,0.01
SVM plain,0.95,0.93,0.93,0.93,0.92,0.94,0.93,0.0
SVM pre-processing,0.93,0.93,0.91,0.91,0.91,0.94,0.92,0.0
KNeighbors plain,0.96,0.94,0.92,0.93,0.92,0.95,0.94,0.01
KNeighbors pre-processing,0.92,0.92,0.92,0.92,0.91,0.94,0.92,0.0
ADA plain,0.99,0.96,0.95,0.95,0.96,0.98,0.96,0.01
ADA pre-processing,0.92,0.88,0.89,0.89,0.87,0.92,0.9,0.01
